wallet_address,tx_count,in_degree,out_degree,degree_ratio,fanin_count,fanout_count,total_received_amount,total_sent_amount,net_balance,turnover_ratio,avg_hop_interval_mins,median_hop_interval_mins,min_hop_interval_mins,max_hop_interval_mins,min_drain_minutes,wallet_age_hours,forwarded_pct_10m,forwarded_pct_30m,forwarded_pct_60m,forwarded_pct_120m,peel_skim_ratio,peel_signal,transient_velocity,velocity_drain_score,fanout_burst_signal,fanin_burst_signal,is_peel_chain_node,is_mixer_hub,is_mixer_intermediate,is_rapid_cashout_node,unique_counterparties,unique_ips_count,unique_countries_count,unique_asns_count,dominant_country,dominant_asn,timestamp_entropy,betweenness_centrality,pagerank,ground_truth_label,is_planted_anomaly
1121pg4x6qfi3WpKddwPRE7K1e1,1,1,0,0.0,1,0,0.78147955,0.0,0.78147955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1,2,2,2,Germany,AS3216,0.0,0.0,0.002383,peel_chain,1
1172JLAJqwQerjnLvM73dnvsCQ7J6yTT,1,1,0,0.0,1,0,0.81050959,0.0,0.81050959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1,2,2,2,India,AS133982,0.0,0.0,0.000715,normal,0
11CfsCQpvSFSPp5aXqhU2yQRKLbko3bf8F,2,1,1,1.0,1,1,0.19371797,0.19371797,0.0,1.0,71.16,71.16,71.16,71.16,71.16,1.19,0.0,0.0,0.0,1.0,0.0,0.0,0.8065,0.0,0.7752,0.7752,0.0,0.0,1.0,0.0,2,4,3,4,Australia,AS1221,0.2181,0.0,0.000653,mixer,1
11iGdRFW6a3wYkMoaDFw6qNBTpcU,1,0,1,1.0,0,1,0.0,2.66690206,-2.66690206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,India,AS37075,0.0,0.0,0.000642,normal,0
11pu7mGTTe9n1yG4pLhdZgosvd,11,3,8,2.6666666666666665,3,10,8.94602561,35.19126046,-26.24523485,0.2542,4194.09,3227.85,0.96,10689.4,0.96,699.02,0.4218,0.4218,0.4218,0.4218,0.0,0.0,0.0004,2.152,0.0143,0.0043,0.0,0.0,0.0,0.0,13,22,8,16,China,AS13285,0.6752,0.009873,0.002694,normal,0
125vLdjj7oonJni8aGwj8tspNZSpT,1,1,0,0.0,1,0,0.54607488,0.0,0.54607488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1,2,2,2,Australia,AS13335,0.0,0.0,0.000864,normal,0
12CDHbqcMYTz9fSYuTSjSmrxfEb5zz3e,1,1,0,0.0,1,0,1.93134475,0.0,1.93134475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1,2,2,2,Russia,AS2856,0.0,0.0,0.001323,normal,0
12jLvospGn7srDpTJoE2CLsyHeQyYw7y,7,5,2,0.4,8,2,27.47342736,2.19104359,25.28238377,0.0798,6589.07,8385.08,1132.81,11820.73,8544.26,658.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.003,0.0121,0.0,0.0,0.0,0.0,9,14,8,13,Singapore,AS16509,0.55,0.00795,0.003878,normal,0
1385qmVNzZTvUi1RZPJfSQabvt6p,2,1,1,1.0,1,1,0.18856319,0.18856319,0.0,1.0,58.54,58.54,58.54,58.54,58.54,0.98,0.0,0.0,1.0,1.0,0.0,0.0,0.9709,0.0,0.9259,0.9259,0.0,0.0,1.0,0.0,2,4,4,4,China,AS16509,0.2181,0.0,0.000649,mixer,1
13GXLyTA3vzfLywKNeyECN3znUjshjdxjy,1,0,1,1.0,0,1,0.0,0.86039204,-0.86039204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,India,AS55836,0.0,0.0,0.000642,normal,0
13KPCjNTqEuUxWQsdEXV5bRZhnm3HHez,2,1,1,1.0,1,1,0.07780017,0.07780017,0.0,1.0,87.9,87.9,87.9,87.9,87.9,1.47,0.0,0.0,0.0,1.0,0.0,0.0,0.6579,0.0,0.6369,0.6369,0.0,0.0,1.0,0.0,2,4,3,3,Australia,AS3356,0.2181,3e-06,0.000645,mixer,1
13PQzRnL2eeLvg4DRdMhbW3zxtvK5aH,1,0,1,1.0,0,1,0.0,7.26988056,-7.26988056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,Russia,AS12389,0.0,0.0,0.000642,normal,0
13Qq91W8MaDGULTZrDHWDV6BHQa,2,1,1,1.0,1,1,3.4560793,3.4560793,0.0,1.0,1.93,1.93,1.93,1.93,1.93,0.03,1.0,1.0,1.0,1.0,0.0209,2.09,12.5,3.413,7.6923,7.6923,1.0,0.0,1.0,1.0,2,4,3,3,Singapore,AS25513,0.0,6e-06,0.001652,rapid_cashout,1
13bMnSz7uC3SXogwjCSxvdf8uWfKhZ,7,4,3,0.75,6,3,12.70327611,10.38715919,2.31611692,0.8177,3592.47,2914.71,52.97,8242.94,52.97,359.25,0.0,0.0,0.1597,0.1597,0.0,0.0,0.0023,0.0,0.0083,0.0167,0.0,0.0,0.0,0.0,9,14,7,11,Germany,AS17547,0.4641,0.002356,0.003402,normal,0
13g4rEvDmMqFKiPD966bXinYcCbdCDQ,10,10,0,0.0,10,0,6.18811754,0.0,6.18811754,0.0,3.15,2.09,0.66,8.82,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5439,0.0,1.0,0.0,0.0,10,20,9,15,United States,AS12389,0.0,0.0,0.006301,mixer,1
13jLkBj7tCj8x451QHSMqWGWWieUYz,2,0,2,2.0,0,2,0.0,13.06696735,-13.06696735,0.0,9924.27,9924.27,9924.27,9924.27,0.0,165.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0,0.0,2,4,4,4,China,AS13285,0.2181,0.0,0.000642,normal,0
13umBzAvdRzrxe7BZtGhY93TPPcdxWG2,6,2,4,2.0,2,8,14.23089639,8.94241968,5.28847671,0.6284,3740.66,1967.65,346.69,10109.87,346.69,311.72,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0257,0.0064,0.0,0.0,0.0,0.0,10,12,7,10,Australia,AS1221,0.3909,0.002114,0.002638,normal,0
13ytpCS6wcJUmX98RitmrZMNd7S,4,4,0,0.0,4,0,8.21705247,0.0,8.21705247,0.0,17.84,17.96,6.78,28.78,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0404,0.0,1.0,0.0,0.0,4,8,5,6,United States,AS28573,0.2181,0.0,0.003046,mixer,1
142EVm1Gxfn3DnNXxGVkcLgLKEMQcy,2,1,1,1.0,1,1,4.30493504,4.30493504,0.0,1.0,46.97,46.97,46.97,46.97,46.97,0.78,0.0,0.0,1.0,1.0,0.0,0.0,1.2048,0.0,1.1364,1.1364,0.0,0.0,1.0,0.0,2,4,3,3,Brazil,AS1221,0.0,0.0,0.000761,mixer,1
143LTEkNt5KS6Df5bZ9D2HUQcerJJmVu,1,0,1,1.0,0,1,0.0,5.523521,-5.523521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,Germany,AS24940,0.0,0.0,0.000642,rapid_cashout,1
14EoqwApcHPBkjkmC8zdE88QzDsEDFU,2,1,1,1.0,1,1,0.08541795,0.08541795,0.0,1.0,67.32,67.32,67.32,67.32,67.32,1.12,0.0,0.0,0.0,1.0,0.0,0.0,0.8547,0.0,0.8197,0.8197,0.0,0.0,1.0,0.0,2,4,3,4,Australia,AS16509,0.2181,0.0,0.000645,mixer,1
14oUYWPgByhTg1DaKcGYEUcNVDhN,2,1,1,1.0,1,1,1.63335551,1.63335551,0.0,1.0,4.0,4.0,4.0,4.0,4.0,0.07,1.0,1.0,1.0,1.0,0.0365,3.65,8.3333,2.0,5.8824,5.8824,1.0,0.0,1.0,1.0,2,4,3,4,United Kingdom,AS13285,0.0,1.4e-05,0.002669,peel_chain,1
153538zyX1Pew7jUie2F54yiShgjovB2ZD,1,1,0,0.0,3,0,4.71584669,0.0,4.71584669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3,2,2,2,China,AS36873,0.0,0.0,0.002984,normal,0
15NZ3GvrArt15Q3Y7BaVZmVcaPC59PK,10,4,6,1.5,4,4,5.00569888,33.57254488,-28.566846,0.1491,2887.51,2253.69,0.0,7633.73,1.12,433.13,0.0732,0.0732,0.0732,0.0732,0.0,0.0,0.0003,0.3453,0.0092,0.0092,0.0,0.0,0.0,0.0,8,18,10,13,Germany,AS12389,0.5772,0.001188,0.002467,normal,0
15Rzadmus18GZvk82Shz8svuMQZ,4,4,0,0.0,4,0,7.53973292,0.0,7.53973292,0.0,7.04,7.73,1.98,11.42,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8889,0.0,1.0,0.0,0.0,4,8,8,8,Brazil,AS28573,0.0,0.0,0.00305,mixer,1
15aCFFmdW96E3jWeCrfNa3gxuprUCw5G,8,3,5,1.6666666666666667,5,5,8.23345696,12.43146878,-4.19801182,0.6623,2924.87,777.88,0.4,9820.2,0.4,341.23,0.3425,0.3425,0.3425,0.4768,0.0,0.0,0.0019,2.4464,0.0146,0.0146,0.0,0.0,0.0,0.0,9,16,8,14,China,AS12714,0.5453,0.005253,0.004161,normal,0
15sTRDtB4tRxJCwUYnySuapZtCia9fpj,10,0,10,10.0,0,10,0.0,16.854229,-16.854229,0.0,0.21,0.13,0.03,0.74,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9231,0.0,0.0,1.0,0.0,0.0,10,20,9,16,Germany,AS13335,0.0,0.0,0.000642,mixer,1
16coyRrwkHSxSzhY5jGz2K4xM5tNhKVz1n,3,2,1,0.5,4,1,25.31057079,3.9785341,21.33203669,0.1572,7836.51,7836.51,6842.53,8830.48,0.0,261.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0038,0.0153,0.0,0.0,0.0,0.0,5,6,4,5,China,AS29465,0.3457,0.00176,0.004822,normal,0
16e5AtgbnbRu9jPwfrf33MiGnnRM3ueB,2,1,1,1.0,1,1,1.61748918,1.61748918,0.0,1.0,66.37,66.37,66.37,66.37,66.37,1.11,0.0,0.0,0.0,1.0,0.0,0.0,0.8621,0.0,0.8264,0.8264,0.0,0.0,1.0,0.0,2,4,3,4,Australia,AS16509,0.2181,0.0,0.000733,mixer,1
