address,currency,entity_name,program,list_date
124ASTydd2hpRMn5gu98iVnm57JxeEp2Sj,BTC,Lazarus Group,DPRK,2019-09-13
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,BTC,Lazarus Group,DPRK,2020-03-02
12QtD5BFwRsdNsymqfDGHmK81U3YgS1F9Z,BTC,Hydra Market,RUSSIA,2022-04-05
1L1v2e5fH3Yf8aQW5p9v8rQ7w1xY3z5a7B,BTC,Garantex Europe OU,RUSSIA,2022-04-05
385cR5DM96n1HvBDMzLHPYCW89fZAXULJP,BTC,SUEX OTC,CYBER,2021-09-21
3LQuXMcrvd1vRwnAcVaFeHaLXY4vGphjLL,BTC,Chatex,CYBER,2021-11-08
bc1q2dssgwq48p4w6cvc3sl2t6vd5sccsc03v88480,BTC,Sinbad.io Mixer,DPRK,2023-11-29
bc1q8w4p6v7z3m8k2y5q4r9t0e1w2u3v4x5y6z7a8b,BTC,Tornado Cash Affiliated,CYBER,2022-08-08
149vaAnrA1KXtm7ne4G894JbULKqVNdZf3,BTC,Evil Corp,CYBER,2019-12-05
bc1qx982v4q9t5y8z2w3e4r5t6y7u8i9o0p1a2s3d4,BTC,Bitzlato,RUSSIA,2023-01-18
bc1qrh8yrh3jpz8n3kkdwgmc9dgxcrvttgpwrazf5u,BTC,Task Force Rusich,RUSSIA,2024-07-06
1h3EH5E6HdNNDGwecAjAPzeZgqnE2KGDws,BTC,Blender.io,DPRK,2020-06-03
bc1q0u5yyh3hdjtly0cmy94nvnwg374rucc2f9qhhl,BTC,Tornado Cash,CYBER,2023-09-25
1sJec9mYnX1K2vsqJ4sw5V5mm8UYGsRDYj,BTC,Sinbad.io Mixer,DPRK,2021-07-14
3zeSX8ELbED5dEur5EfD8waUnoC6SRUjgz,BTC,SUEX OTC,CYBER,2018-09-20
3jo7CY9BTs5or6eY16kEQUsuA1PvnHhjnf,BTC,PM2BTC,RUSSIA,2019-10-11
1JyaYk4aWrAx5BbgE7tFbcRaXwCiEPfJKk,BTC,Garantex Europe OU,RUSSIA,2018-02-22
3dZ6YW8M4FHSYJzoXfZw7sGtkAHDLgrWFu,BTC,Hydra Market,RUSSIA,2019-01-28
bc1qdgqc5gh3dqzuu36jyyfuemux8rcudnyamleuqh,BTC,Blender.io,DPRK,2022-08-28
bc1qmegermm86wfe8qx2m7g5vl37rl97grdh2nsvjg,BTC,Al-Qassam Cyber Operations,CYBER,2022-12-06
1XogwjCSxvdf8uWfKhZCfNkBaQqJDncKSg,BTC,Cryptex,RUSSIA,2023-05-07
bc1q9zs526c48xq80mzd5xk085qccrd97sp8mwe4ln,BTC,Buy-Bitcoin.pro,CYBER,2024-11-28
bc1qudaw9mwc6gc08wk82uzyvyxd2wp6vc7quj07fv,BTC,Netwalker Ransomware,CYBER,2024-01-28
bc1qheu0g0v4eh6al3aj4zdm9g2w2ug7d60hp78z7p,BTC,Lazarus Group,DPRK,2020-10-23
1qdEU7wTFNcxinAKavauNwCbqFhJgooZ3X,BTC,CJNG Money Laundering Cell,TCO,2022-03-12
1WLrp7xdqiSjxGoYVSjGrq6tFTcN2rBDoL,BTC,Conti Ransomware,CYBER,2021-02-19
bc1qq7zh0ck50ez8kfj0sdh2kggrxr3c9x0hlsfrx8,BTC,Tornado Cash,CYBER,2021-06-06
1i834Hwdk61HULxFr74Vag9px5FZRbcmPu,BTC,Genesis Market,CYBER,2024-08-21
3JdcjwDDfAB51TbHEihTgvndfwRYeup5AJ,BTC,Trickbot Group,CYBER,2021-04-11
38ghwWV53SKF6xqaxzfG3kUevBadV6MLfr,BTC,Blender.io,DPRK,2022-08-28
bc1q04vcpzgrcm6qmwpsn0wpgyfu0q5ekfqd86r75y,BTC,Al-Qassam Cyber Operations,CYBER,2021-04-24
bc1qkd00wyxnhyzcm2egqh6j4mw02cvaml8vmd20av,BTC,CJNG Money Laundering Cell,TCO,2019-09-30
3x8xL6r6u19sy5nGdQ5LgXxdtVYcEgHE6y,BTC,Sinaloa Cartel Financial Network,SDNTK,2019-03-02
3AJ2K4MRFQgBBcPgVaEdTfuTHY5wzJxhTJ,BTC,SamSam Ransomware,CYBER,2023-06-17
1EaazJyfGZgk3cVuHocMddgifqdueJSaj6,BTC,Genesis Market,CYBER,2021-09-14
bc1qdxeutsg9a77fmewzc844vm3zvgrthgv5t40n72,BTC,Conti Ransomware,CYBER,2020-07-09
bc1qz6afdy7f0ruyw4h7dhydr0d7ptw7mr43ltvxrm,BTC,Buy-Bitcoin.pro,CYBER,2019-01-25
bc1qx5lp2lex63j68cengll3ermytejqgydrzwtjw8,BTC,Conti Ransomware,CYBER,2018-07-11
bc1qemsw7p0v40azznzg532lswnrkm5chxw82wdrd4,BTC,Task Force Rusich,RUSSIA,2019-10-02
bc1qaz6zrhe3j32rt4cmh7ntjx48rmtcjeml6n5qa6,BTC,Evil Corp,CYBER,2018-05-13
1GmvMB9f5jy6XNTAKKwbtAk35SRcRDWM7g,BTC,Trickbot Group,CYBER,2023-07-01
bc1q4pvnqfxyg2qh9vks6ezmpqamjjkdrq2en6azm8,BTC,Trickbot Group,CYBER,2022-07-13
bc1qzmh8cz5sxct75yrg9ycz75wjj4u5l2l2w05ejt,BTC,Garantex Europe OU,RUSSIA,2021-07-09
