wallet_address,cluster_id,root_address,louvain_community_id,obfuscation_disagreement
1121pg4x6qfi3WpKddwPRE7K1e1,CLUSTER_0001,1121pg4x6qfi3WpKddwPRE7K1e1,36,False
1172JLAJqwQerjnLvM73dnvsCQ7J6yTT,CLUSTER_0002,17wh93NZR3Nwy3MgfMZsykvEAo,4,False
11CfsCQpvSFSPp5aXqhU2yQRKLbko3bf8F,CLUSTER_0003,11CfsCQpvSFSPp5aXqhU2yQRKLbko3bf8F,32,False
11iGdRFW6a3wYkMoaDFw6qNBTpcU,CLUSTER_0004,3kF96jYb26EbZihRTHsmARHDm6,35,False
11pu7mGTTe9n1yG4pLhdZgosvd,CLUSTER_0005,3Tk62XigK8QJnLgcA7oqsLkVV55coua,12,True
125vLdjj7oonJni8aGwj8tspNZSpT,CLUSTER_0006,125vLdjj7oonJni8aGwj8tspNZSpT,35,False
12CDHbqcMYTz9fSYuTSjSmrxfEb5zz3e,CLUSTER_0007,12CDHbqcMYTz9fSYuTSjSmrxfEb5zz3e,35,False
12jLvospGn7srDpTJoE2CLsyHeQyYw7y,CLUSTER_0008,12jLvospGn7srDpTJoE2CLsyHeQyYw7y,22,False
1385qmVNzZTvUi1RZPJfSQabvt6p,CLUSTER_0009,1385qmVNzZTvUi1RZPJfSQabvt6p,26,False
13GXLyTA3vzfLywKNeyECN3znUjshjdxjy,CLUSTER_0010,1XdVS3G8HtV2doiK1QEq7we9wHhRU,15,False
13KPCjNTqEuUxWQsdEXV5bRZhnm3HHez,CLUSTER_0011,13KPCjNTqEuUxWQsdEXV5bRZhnm3HHez,44,False
13PQzRnL2eeLvg4DRdMhbW3zxtvK5aH,CLUSTER_0012,13PQzRnL2eeLvg4DRdMhbW3zxtvK5aH,35,False
13Qq91W8MaDGULTZrDHWDV6BHQa,CLUSTER_0013,13Qq91W8MaDGULTZrDHWDV6BHQa,39,False
13bMnSz7uC3SXogwjCSxvdf8uWfKhZ,CLUSTER_0005,3Tk62XigK8QJnLgcA7oqsLkVV55coua,12,True
13g4rEvDmMqFKiPD966bXinYcCbdCDQ,CLUSTER_0014,13g4rEvDmMqFKiPD966bXinYcCbdCDQ,44,False
13jLkBj7tCj8x451QHSMqWGWWieUYz,CLUSTER_0015,bc1qeupad27zmn7vyucalvcjg4dtajmqf3twxtnd4n,31,False
13umBzAvdRzrxe7BZtGhY93TPPcdxWG2,CLUSTER_0015,bc1qeupad27zmn7vyucalvcjg4dtajmqf3twxtnd4n,31,False
13ytpCS6wcJUmX98RitmrZMNd7S,CLUSTER_0016,13ytpCS6wcJUmX98RitmrZMNd7S,29,False
142EVm1Gxfn3DnNXxGVkcLgLKEMQcy,CLUSTER_0017,142EVm1Gxfn3DnNXxGVkcLgLKEMQcy,29,False
143LTEkNt5KS6Df5bZ9D2HUQcerJJmVu,CLUSTER_0018,143LTEkNt5KS6Df5bZ9D2HUQcerJJmVu,45,False
14EoqwApcHPBkjkmC8zdE88QzDsEDFU,CLUSTER_0019,14EoqwApcHPBkjkmC8zdE88QzDsEDFU,26,False
14oUYWPgByhTg1DaKcGYEUcNVDhN,CLUSTER_0020,14oUYWPgByhTg1DaKcGYEUcNVDhN,38,False
153538zyX1Pew7jUie2F54yiShgjovB2ZD,CLUSTER_0021,153538zyX1Pew7jUie2F54yiShgjovB2ZD,23,False
15NZ3GvrArt15Q3Y7BaVZmVcaPC59PK,CLUSTER_0022,15NZ3GvrArt15Q3Y7BaVZmVcaPC59PK,4,False
15Rzadmus18GZvk82Shz8svuMQZ,CLUSTER_0023,15Rzadmus18GZvk82Shz8svuMQZ,5,False
15aCFFmdW96E3jWeCrfNa3gxuprUCw5G,CLUSTER_0024,bc1qrvlcz6m8l56tteqe9qxdxh0tnfcseqfqlpm9xx,31,True
15sTRDtB4tRxJCwUYnySuapZtCia9fpj,CLUSTER_0025,15sTRDtB4tRxJCwUYnySuapZtCia9fpj,5,False
16coyRrwkHSxSzhY5jGz2K4xM5tNhKVz1n,CLUSTER_0005,3Tk62XigK8QJnLgcA7oqsLkVV55coua,3,True
16e5AtgbnbRu9jPwfrf33MiGnnRM3ueB,CLUSTER_0026,16e5AtgbnbRu9jPwfrf33MiGnnRM3ueB,32,False
16fxZTzD1odykGzRir8QcWLmQBU57NfdJG,CLUSTER_0027,bc1qqenxc87axtx68hrajeqc3sma3c3kjlwy9jm0pj,24,False
16jXBXFdBkR7eMTftABQLAzSMKzKNmRjcZ,CLUSTER_0028,16jXBXFdBkR7eMTftABQLAzSMKzKNmRjcZ,43,False
16oBPEF2m4wvZypz1tWRh7mWJhEQ,CLUSTER_0029,16oBPEF2m4wvZypz1tWRh7mWJhEQ,18,False
16tHAApycAsxgGzRDPGhRQAery,CLUSTER_0030,16tHAApycAsxgGzRDPGhRQAery,10,False
16v6h35wTJrHvEKXE64enxwBYwtEo,CLUSTER_0031,16v6h35wTJrHvEKXE64enxwBYwtEo,44,False
17L8XVpHM1FH6RDG1TJjPKkDadGqfk,CLUSTER_0032,17L8XVpHM1FH6RDG1TJjPKkDadGqfk,18,False
17UHZR4GxMQvus8AafSzNG4nBQZE98h14n,CLUSTER_0033,17UHZR4GxMQvus8AafSzNG4nBQZE98h14n,44,False
17WSvEQYDE8CYkX8MtRWRZtz4MNGZZ,CLUSTER_0034,17WSvEQYDE8CYkX8MtRWRZtz4MNGZZ,7,False
17k6mJ8zh54RPSwS9hUX4MGtLyjPdLKzb,CLUSTER_0002,17wh93NZR3Nwy3MgfMZsykvEAo,4,False
17wh93NZR3Nwy3MgfMZsykvEAo,CLUSTER_0002,17wh93NZR3Nwy3MgfMZsykvEAo,4,False
199RsNgkKFx1V8mkrURszUtSZrhu,CLUSTER_0035,3ptTXXXAETXtw9nD8TgxL3JfgYxtVtHeWQ,35,False
19DFhXZnmnhJ5BG88p6qqKeJvk1gk,CLUSTER_0004,3kF96jYb26EbZihRTHsmARHDm6,35,False
19YUBTTDwkJrWfW2b1wpjcHisjcTn9Fyb,CLUSTER_0004,3kF96jYb26EbZihRTHsmARHDm6,35,False
19tZ6s3pAkJ2B2CRLVrnZMDysWem,CLUSTER_0036,19tZ6s3pAkJ2B2CRLVrnZMDysWem,22,False
